idna_subject,checker_type,destination,tested_at
appex-rf.msn.com,AVAILABILITY,origin.list,2023-02-22 05:17:03.316987
by3301-a.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:03.706083
bl3301-a.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:04.125820
bl3301-c.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:04.133575
by3301-c.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:04.511911
by3301-e.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:04.515977
bl3301-g.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:04.902832
ch1-cor002.api.p001.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:04.907329
ch3301-g.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:05.306340
ch3301-e.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:05.321121
ch3301-c.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:05.700228
ch3302-e.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:05.713314
ch3302-c.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.133303
ch1-cor001.api.p001.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.135837
staging.to-do.officeppe.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.152816
location-inference-westus.cloudapp.net,AVAILABILITY,origin.list,2023-02-22 05:17:06.530377
sn3301-g.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.530366
sn3301-c.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.565566
staging.to-do.microsoft.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.933027
sn3301-e.1drv.com,AVAILABILITY,origin.list,2023-02-22 05:17:06.945219
foodanddrink.tile.appex.bing.com,AVAILABILITY,origin.list,2023-02-22 05:17:07.076894
wallet.microsoft.com,AVAILABILITY,origin.list,2023-02-22 05:17:07.430954
ui.skype.com,AVAILABILITY,origin.list,2023-02-22 05:17:07.462915
apps.skype.com,AVAILABILITY,origin.list,2023-02-22 05:17:07.594374
thestreamstaging.blob.core.windows.net,AVAILABILITY,origin.list,2023-02-22 05:17:07.869722
mediaredirect.microsoft.com,AVAILABILITY,origin.list,2023-02-22 05:17:07.939534
s.gateway.messenger.live.com,AVAILABILITY,origin.list,2023-02-22 05:17:07.987910
reactiveassistanceinstance.cognitiveservices.azure.com,AVAILABILITY,origin.list,2023-02-22 05:17:08.121185
dmd.metaservices.microsoft.com.akadns.net,AVAILABILITY,origin.list,2023-02-22 05:17:08.449811
cy2.settings.data.microsoft.com.akadns.net,AVAILABILITY,origin.list,2023-02-22 05:17:08.477451
