idna_subject,checker_type,destination,source,tested_at,session_id
onedriveclucproddm20018.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.603642,720ced6324060f63abc0db33
onedriveclucproddm20019.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.607230,720ced6324060f63abc0db33
onedriveclucproddm20020.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.610796,720ced6324060f63abc0db33
onedriveclucproddm20021.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.614574,720ced6324060f63abc0db33
onedriveclucproddm20022.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.618144,720ced6324060f63abc0db33
onedriveclucproddm20023.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.621793,720ced6324060f63abc0db33
onedriveclucproddm20024.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.625557,720ced6324060f63abc0db33
onedriveclucproddm20025.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.629299,720ced6324060f63abc0db33
onedriveclucproddm20026.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.633458,720ced6324060f63abc0db33
onedriveclucproddm20027.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.637498,720ced6324060f63abc0db33
onedriveclucproddm20028.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.641466,720ced6324060f63abc0db33
onedriveclucproddm20029.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.645574,720ced6324060f63abc0db33
onedriveclucproddm20030.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.649280,720ced6324060f63abc0db33
onedriveclucproddm20036.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.653392,720ced6324060f63abc0db33
onedriveclucproddm20037.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.657228,720ced6324060f63abc0db33
onedriveclucproddm20040.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.661556,720ced6324060f63abc0db33
oneocsp.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.665543,720ced6324060f63abc0db33
optanon.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.669402,720ced6324060f63abc0db33
otf.msn.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.673615,720ced6324060f63abc0db33
outlook.office365.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.677721,720ced6324060f63abc0db33
packages.dmd.metaservices.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.681841,720ced6324060f63abc0db33
pipe.skype.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.685909,720ced6324060f63abc0db33
pstrgqp01.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.689832,720ced6324060f63abc0db33
pti.store.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.693965,720ced6324060f63abc0db33
purchase.mp.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.698040,720ced6324060f63abc0db33
query.prod.cms.rt.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.702128,720ced6324060f63abc0db33
r20swj13mr.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.706305,720ced6324060f63abc0db33
rcr.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.710426,720ced6324060f63abc0db33
register.cdpcs.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.714879,720ced6324060f63abc0db33
ris.api.iris.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.719437,720ced6324060f63abc0db33
roaming.officeapps.live.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.723798,720ced6324060f63abc0db33
romeccs.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.727938,720ced6324060f63abc0db33
s0.2mdn.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.732802,720ced6324060f63abc0db33
s2s.config.skype.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.737459,720ced6324060f63abc0db33
search.msn.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.741882,720ced6324060f63abc0db33
self.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.746155,720ced6324060f63abc0db33
service.weather.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.750441,720ced6324060f63abc0db33
settings.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.754779,720ced6324060f63abc0db33
settings-ssl.xboxlive.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.759075,720ced6324060f63abc0db33
settings-win.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.763418,720ced6324060f63abc0db33
sfdataservice.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.767702,720ced6324060f63abc0db33
share.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.771991,720ced6324060f63abc0db33
skyapi.live.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.776621,720ced6324060f63abc0db33
static.2mdn.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.780990,720ced6324060f63abc0db33
storage.live.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.785406,720ced6324060f63abc0db33
store-images.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.789821,720ced6324060f63abc0db33
store-images.s-microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.794880,720ced6324060f63abc0db33
storecatalogrevocation.storequality.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.799243,720ced6324060f63abc0db33
storeedgefd.dsx.mp.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.803858,720ced6324060f63abc0db33
substrate.office.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.808560,720ced6324060f63abc0db33
support.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.813109,720ced6324060f63abc0db33
t0.ssl.ak.dynamic.tiles.virtualearth.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.817746,720ced6324060f63abc0db33
t0.ssl.ak.tiles.virtualearth.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.822417,720ced6324060f63abc0db33
t.urs.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.827238,720ced6324060f63abc0db33
thestreamstaging.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.831855,720ced6324060f63abc0db33
tile-service.weather.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.836760,720ced6324060f63abc0db33
time.windows.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.841465,720ced6324060f63abc0db33
tk2.plt.msn.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.846125,720ced6324060f63abc0db33
troubleshooting.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.850940,720ced6324060f63abc0db33
uhf.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.855637,720ced6324060f63abc0db33
urs.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.860555,720ced6324060f63abc0db33
urs.smartscreen.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.865361,720ced6324060f63abc0db33
us-v10.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.870103,720ced6324060f63abc0db33
us-v20.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.874936,720ced6324060f63abc0db33
us.vortex-win.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.880025,720ced6324060f63abc0db33
v10.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.884779,720ced6324060f63abc0db33
v10c.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.889549,720ced6324060f63abc0db33
v20.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.894326,720ced6324060f63abc0db33
validation.sls.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.899271,720ced6324060f63abc0db33
validation-v2.sls.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.904155,720ced6324060f63abc0db33
version.hybrid.api.here.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.908950,720ced6324060f63abc0db33
videomd.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.913889,720ced6324060f63abc0db33
vortex-win.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.918952,720ced6324060f63abc0db33
vortex-win-sandbox.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.923930,720ced6324060f63abc0db33
w.apprep.smartscreen.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.929093,720ced6324060f63abc0db33
wallet.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.933816,720ced6324060f63abc0db33
wdcp.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.938878,720ced6324060f63abc0db33
wdcpalt.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.943998,720ced6324060f63abc0db33
win10-trt.msedge.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.950130,720ced6324060f63abc0db33
wpcdn.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.954964,720ced6324060f63abc0db33
wscont.apps.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.960003,720ced6324060f63abc0db33
wscont.apps.microsoft.com.edgesuite.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.964932,720ced6324060f63abc0db33
wscont2.apps.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.969998,720ced6324060f63abc0db33
wscont1.apps.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.974912,720ced6324060f63abc0db33
www.msedge.net,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.980042,720ced6324060f63abc0db33
www.msftconnecttest.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.987596,720ced6324060f63abc0db33
www.msftncsi.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.992795,720ced6324060f63abc0db33
www.telecommandsvc.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:21.997911,720ced6324060f63abc0db33
www.windowssearch.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:22.003198,720ced6324060f63abc0db33
x.urs.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:22.008327,720ced6324060f63abc0db33
xml.login.live.com,AVAILABILITY,origin.list,origin.list,2001-08-20 16:28:22.013393,720ced6324060f63abc0db33
a-0001.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:25.790089,720ced6324060f63abc0db33
a-0001.dc-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:29.482240,720ced6324060f63abc0db33
a-0002.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:33.165550,720ced6324060f63abc0db33
a-0003.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:36.838885,720ced6324060f63abc0db33
a-0003.dc-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:40.514209,720ced6324060f63abc0db33
a-0004.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:44.199842,720ced6324060f63abc0db33
a-0005.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:47.882239,720ced6324060f63abc0db33
a-0006.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:51.568945,720ced6324060f63abc0db33
a-0007.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:55.259202,720ced6324060f63abc0db33
a-0008.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:28:58.945548,720ced6324060f63abc0db33
a-0009.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:02.631817,720ced6324060f63abc0db33
a-0010.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:06.311446,720ced6324060f63abc0db33
a-0011.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:09.999001,720ced6324060f63abc0db33
a-0012.a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:13.685677,720ced6324060f63abc0db33
a-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:16.949325,720ced6324060f63abc0db33
a.config.skype.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:22.298265,720ced6324060f63abc0db33
activation.sls.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:47.243627,720ced6324060f63abc0db33
activation-v2.sls.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:51.747186,720ced6324060f63abc0db33
am3pap002.storage.live.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:29:57.421020,720ced6324060f63abc0db33
am3pap004.storage.live.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:02.719947,720ced6324060f63abc0db33
answers.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:08.822350,720ced6324060f63abc0db33
api.bing.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:13.755224,720ced6324060f63abc0db33
api.cdp.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:39.078141,720ced6324060f63abc0db33
api.onedrive.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:46.030511,720ced6324060f63abc0db33
appex-rf.msn.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:50.536394,720ced6324060f63abc0db33
arc.msn.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:55.529868,720ced6324060f63abc0db33
arc.msn.com.nsatc.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:30:59.701216,720ced6324060f63abc0db33
ars.smartscreen.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:24.738010,720ced6324060f63abc0db33
assuritystorage.blob.core.windows.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:29.797290,720ced6324060f63abc0db33
auth.gfx.ms,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:34.973869,720ced6324060f63abc0db33
az361816.vo.msecnd.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:39.923163,720ced6324060f63abc0db33
az512334.vo.msecnd.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:44.859291,720ced6324060f63abc0db33
az725175.vo.msecnd.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:49.934824,720ced6324060f63abc0db33
b.config.skype.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:54.917397,720ced6324060f63abc0db33
bingforbusiness.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:31:59.123693,720ced6324060f63abc0db33
blob.weather.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:04.138177,720ced6324060f63abc0db33
browser.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:29.093006,720ced6324060f63abc0db33
c-0001.dc-msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:32.777065,720ced6324060f63abc0db33
c1.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:38.001781,720ced6324060f63abc0db33
candycrushsoda.king.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:42.308761,720ced6324060f63abc0db33
cdn.content.prod.cms.msn.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:47.275580,720ced6324060f63abc0db33
cdn.onenote.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:32:53.181434,720ced6324060f63abc0db33
checkappexec.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:33:18.182697,720ced6324060f63abc0db33
choice.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:33:26.022313,720ced6324060f63abc0db33
choice.microsoft.com.nsatc.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:33:50.237561,720ced6324060f63abc0db33
client-office365-tas.msedge.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:33:54.756544,720ced6324060f63abc0db33
client-s.gateway.messenger.live.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:33:59.645941,720ced6324060f63abc0db33
clientconfig.passport.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:34:04.756862,720ced6324060f63abc0db33
co2.sls.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:34:28.905071,720ced6324060f63abc0db33
config.edge.skype.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:34:33.840166,720ced6324060f63abc0db33
config.teams.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:34:38.770598,720ced6324060f63abc0db33
continuum.dds.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:35:03.752791,720ced6324060f63abc0db33
crl.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:35:08.853528,720ced6324060f63abc0db33
cs.dds.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:35:33.928878,720ced6324060f63abc0db33
dev.virtualearth.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:35:40.347824,720ced6324060f63abc0db33
device.auth.xboxlive.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:36:05.464432,720ced6324060f63abc0db33
dmd.metaservices.microsoft.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:36:10.427306,720ced6324060f63abc0db33
dns.msftncsi.com,AVAILABILITY,origin.list,origin.list,2021-08-20 16:36:34.571295,720ced6324060f63abc0db33
ecn.dev.virtualearth.net,AVAILABILITY,origin.list,origin.list,2021-08-20 16:36:40.851031,720ced6324060f63abc0db33
